排名,国家/地区,所在洲,人均GDP(美元计)
1,摩纳哥,欧洲,"15.06万 (150,585)"
2,列支敦士登,欧洲,"14.12万 (141,200)"
3,卢森堡,欧洲,"10.5万 (104,965)"
4,百慕大,美洲,"8.82万 (88,207)"
5,挪威,欧洲,"8.77万 (87,693)"
6,瑞士,欧洲,"7.46万 (74,605)"
7,开曼群岛,美洲,"7.34万 (73,350)"
8,马恩岛,欧洲,"6.98万 (69,766)"
9,圣马力诺,欧洲,"6.85万 (68,496)"
10,卡塔尔,亚洲,"6.74万 (67,403)"
11,丹麦,欧洲,"5.8万 (58,041)"
12,瑞典,欧洲,"5.28万 (52,817)"
13,澳门,亚洲,"5.23万 (52,253)"
14,澳大利亚,大洋洲,"5.2万 (52,022)"
15,荷兰,欧洲,"5.1万 (50,950)"
16,爱尔兰,欧洲,"4.87万 (48,715)"
17,法罗群岛,欧洲,"4.85万 (48,530)"
18,美国,美洲,"4.85万 (48,467)"
19,加拿大,美洲,"4.75万 (47,450)"
20,新加坡,亚洲,"4.72万 (47,236)"
21,奥地利,欧洲,"4.69万 (46,858)"
22,芬兰,欧洲,"4.65万 (46,459)"
23,日本,亚洲,"4.45万 (44,507)"
24,比利时,欧洲,"4.41万 (44,141)"
25,格陵兰,美洲,"4.4万 (43,988)"
26,冰岛,欧洲,"4.3万 (43,024)"
27,德国,欧洲,"4.15万 (41,531)"
28,法国,欧洲,"4.06万 (40,638)"
29,安道尔,欧洲,"3.97万 (39,736)"
30,英国,欧洲,"3.94万 (39,435)"
31,科威特,亚洲,"3.86万 (38,577)"
32,意大利,欧洲,"3.6万 (36,000)"
33,文莱,亚洲,"3.53万 (35,269)"
34,阿联酋,亚洲,"3.39万 (33,893)"
35,新西兰,大洋洲,"3.37万 (33,692)"
??,欧盟地区,??,"3.29万 (32,931)"
36,香港,亚洲,"3.25万 (32,549)"
37,塞浦路斯,欧洲,"3.1万 (31,023)"
38,关岛,大洋洲,"3.07万 (30,700)"
39,以色列,亚洲,"3.07万 (30,693)"
40,西班牙,欧洲,"3.05万 (30,502)"
41,巴哈马,美洲,"2.84万 (28,443)"
42,希腊,欧洲,"2.69万 (26,917)"
43,波多黎各,美洲,"2.64万 (26,435)"
44,阿鲁巴,美洲,"2.35万 (23,512)"
45,斯洛文尼亚,欧洲,"2.35万 (23,509)"
46,葡萄牙,欧洲,"2.25万 (22,498)"
47,韩国,亚洲,"2.21万 (22,086)"
48,马耳他,欧洲,"2.11万 (21,107)"
49,特克斯和凯科斯群岛,美洲,"2.1万 (21,028)"
50,巴林,亚洲,"2.07万 (20,722)"
51,捷克,欧洲,"1.98万 (19,808)"
52,阿曼,亚洲,"1.93万 (19,281)"
53,沙特阿拉伯,亚洲,"1.93万 (19,262)"
54,赤道几内亚,非洲,"1.73万 (17,288)"
55,斯洛伐克,欧洲,"1.67万 (16,727)"
56,特立尼达和多巴哥,美洲,"1.67万 (16,683)"
57,巴巴多斯,美洲,"1.61万 (16,056)"
58,圣基茨和尼维斯,美洲,"1.55万 (15,508)"
59,北马里亚纳群岛,大洋洲,"1.48万 (14,804)"
60,爱沙尼亚,欧洲,"1.48万 (14,784)"
61,克罗地亚,欧洲,"1.39万 (13,923)"
62,委内瑞拉,美洲,"1.38万 (13,825)"
63,匈牙利,欧洲,"1.31万 (13,113)"
64,安提瓜和巴布达,美洲,"1.3万 (13,049)"
65,智利,美洲,"1.28万 (12,808)"
66,波兰,欧洲,"1.26万 (12,599)"
67,利比亚,非洲,"1.21万 (12,064)"
68,乌拉圭,美洲,"1.2万 (11,992)"
69,立陶宛,欧洲,"1.2万 (11,953)"
70,拉脱维亚,欧洲,"1.13万 (11,344)"
71,巴西,美洲,"1.13万 (11,286)"
72,塞舌尔,非洲,"1.08万 (10,804)"
73,俄罗斯,欧洲,"1.07万 (10,674)"
74,土耳其,欧洲,"1.07万 (10,672)"
75,阿根廷,美洲,"1.04万 (10,385)"
76,美属萨摩亚,大洋洲,"1.03万 (10,271)"
77,帕劳,大洋洲,"1.02万 (10,219)"
??,全世界,??,9541
78,墨西哥,美洲,9271
79,哈萨克斯坦,亚洲,9070
80,马来西亚,亚洲,9040
81,加蓬,非洲,8840
82,苏里南,美洲,8255
83,罗马尼亚,欧洲,8209
84,哥斯达黎加,美洲,8141
85,巴拿马,美洲,8082
86,圣卢西亚,美洲,8037
87,毛里求斯,非洲,8000
88,黎巴嫩,亚洲,7756
89,南非,非洲,7328
90,格林纳达,美洲,7257
91,马尔代夫,亚洲,7076
92,多米尼克,美洲,6967
93,保加利亚,欧洲,6843
94,黑山,欧洲,6682
95,伊朗,亚洲,6603
96,博茨瓦纳,非洲,6434
97,哥伦比亚,美洲,6326
98,圣文森特和格林纳丁斯,美洲,6292
