排名,国家/地区,年份,GDP,20年世界占比%
1,全世界,2020,"847054.00亿 (84,705,400,000,000)",100
2,美国,2021,"229935.00亿 (22,993,500,000,000)",24.7170
3,中国,2021,"177272.00亿 (17,727,200,000,000)",17.3811
4,欧盟,2021,"170880.00亿 (17,088,000,000,000)",17.9359
5,日本,2021,"49347.20亿 (4,934,720,000,000)",5.9728
6,德国,2021,"42189.30亿 (4,218,930,000,000)",4.4933
7,英国,2021,"31885.80亿 (3,188,580,000,000)",3.1967
8,印度,2021,"30798.70亿 (3,079,870,000,000)",3.0966
9,法国,2021,"29374.50亿 (2,937,450,000,000)",3.0730
10,意大利,2021,"21013.00亿 (2,101,300,000,000)",2.2271
11,加拿大,2021,"19913.20亿 (1,991,320,000,000)",1.9401
12,韩国,2021,"17985.00亿 (1,798,500,000,000)",1.9249
13,俄罗斯,2021,"17754.60亿 (1,775,460,000,000)",1.7514
14,澳大利亚,2021,"16338.70亿 (1,633,870,000,000)",1.5712
15,巴西,2021,"16081.00亿 (1,608,100,000,000)",1.7056
16,西班牙,2021,"14228.30亿 (1,422,830,000,000)",1.5125
17,墨西哥,2021,"12924.10亿 (1,292,410,000,000)",1.2705
18,印度尼西亚,2021,"11858.00亿 (1,185,800,000,000)",1.2495
19,伊朗,2021,"10814.00亿 (1,081,400,000,000)",0.2263
20,荷兰,2021,"10161.70亿 (1,016,170,000,000)",1.0770
21,沙特阿拉伯,2021,"8335.00亿 (833,500,000,000)",0.8265
22,瑞士,2021,"8124.29亿 (812,429,000,000)",0.8830
23,土耳其,2021,"8026.78亿 (802,678,000,000)",0.8501
24,中国台湾,2021,"7747.93亿 (774,793,000,000)",0.7014
25,波兰,2021,"6591.75亿 (659,175,000,000)",0.6347
26,瑞典,2021,"6270.77亿 (627,077,000,000)",0.6084
27,比利时,2021,"5995.91亿 (599,591,000,000)",0.5924
28,泰国,2021,"5055.68亿 (505,568,000,000)",0.4942
29,爱尔兰,2021,"4989.00亿 (498,900,000,000)",0.4522
30,阿根廷,2021,"4886.00亿 (488,600,000,000)",0.4274
31,挪威,2021,"4819.28亿 (481,928,000,000)",0.4745
32,以色列,2021,"4812.99亿 (481,299,000,000)",0.5064
33,奥地利,2021,"4774.00亿 (477,400,000,000)",0.5103
34,尼日利亚,2021,"4415.00亿 (441,500,000,000)",0.3564
35,南非,2021,"4180.00亿 (418,000,000,000)",0.4238
36,阿联酋,2021,"4100.00亿 (410,000,000,000)",0.4286
37,埃及,2021,"4028.00亿 (402,800,000,000)",0.4014
38,新加坡,2021,"3968.54亿 (396,854,000,000)",0.4193
39,丹麦,2021,"3954.18亿 (395,418,000,000)",0.4268
40,菲律宾,2021,"3934.66亿 (393,466,000,000)",0.3975
41,马来西亚,2021,"3724.91亿 (372,491,000,000)",0.4092
42,中国香港,2021,"3681.15亿 (368,115,000,000)",0.3201
43,越南,2021,"3662.30亿 (366,230,000,000)",0.3828
44,孟加拉国,2021,"3571.00亿 (357,100,000,000)",0.3113
45,巴基斯坦,2021,"3477.00亿 (347,700,000,000)",0.2986
46,智利,2021,"3169.00亿 (316,900,000,000)",0.3203
47,哥伦比亚,2021,"3144.20亿 (314,420,000,000)",0.3202
48,芬兰,2021,"2986.69亿 (298,669,000,000)",0.2936
49,罗马尼亚,2021,"2835.00亿 (283,500,000,000)",0.2875
50,捷克,2021,"2825.91亿 (282,591,000,000)",0.2730
51,葡萄牙,2021,"2501.04亿 (250,104,000,000)",0.2508
52,新西兰,2021,"2477.00亿 (247,700,000,000)",0.2385
53,秘鲁,2021,"2246.33亿 (224,633,000,000)",0.2236
54,希腊,2021,"2164.00亿 (216,400,000,000)",0.1974
55,伊拉克,2021,"2095.00亿 (209,500,000,000)",0.1837
56,乌克兰,2021,"1983.00亿 (198,300,000,000)",0.2005
57,哈萨克斯坦,2021,"1907.60亿 (190,760,000,000)",0.1830
58,匈牙利,2021,"1846.00亿 (184,600,000,000)",0.1728
59,卡塔尔,2021,"1796.00亿 (179,600,000,000)",0.1714
60,阿尔及利亚,2021,"1646.00亿 (164,600,000,000)",0.1333
61,科威特,2021,"1354.00亿 (135,400,000,000)",0.1235
62,摩洛哥,2021,"1315.00亿 (131,500,000,000)",0.1167
63,斯洛伐克,2021,"1149.00亿 (114,900,000,000)",0.1177
64,肯尼亚,2021,"1098.00亿 (109,800,000,000)",0.1218
65,古巴,2020,"1073.52亿 (107,352,000,000)",0.1166
66,波多黎各,2021,"1067.00亿 (106,700,000,000)",0.1271
67,厄瓜多尔,2021,"1062.00亿 (106,200,000,000)",0.0931
